,Country Name,Country Code,Global Hunger,Population growth,Population,Continent
93,Senegal,SEN,18.4,86.5193889,15157793,Africa
94,Sierra Leone,SLE,38.5,67.085437,7677570,Africa
95,Slovakia,SVK,2.5,2.069512424,5439418,Europe
96,South Africa,ZAF,13.2,40.47486717,56641208,Africa
97,Sri Lanka,LKA,25.5,16.76041378,21506816,Asia
98,Sudan,SDN,35.5,78.08836597,40679820,Africa
99,Suriname,SUR,9.9,30.85534921,587566,South America
100,Tajikistan,TJK,28.7,55.34596189,8925529,Asia
101,United Republic of Tanzania,TZA,28.8,97.94529093,56267040,Africa
102,Thailand,THA,10.6,18.70697889,70898208,Asia
103,Timor-Leste,TLS,34.3,54.07537542,1243238,Asia
104,Togo,TGO,22.5,86.6647774,7852799,Africa
105,Trinidad and Tobago,TTO,6.9,9.907578827,1478616,North America
106,Tunisia,TUN,7.4,31.03994142,11811441,Africa
107,Turkey,TUR,2.5,40.40008986,82089824,Asia
108,Turkmenistan,TKM,12.2,42.70533455,5968388,Asia
109,Uganda,UGA,32,115.2206779,40127096,Africa
110,Ukraine,UKR,2.5,-13.14676314,44657260,Europe
111,Uruguay,URY,2.5,8.770514017,3422205,South America
112,Uzbekistan,UZB,13.1,44.45444283,31945680,Asia
113,Venezuela (Bolivarian Republic of),VEN,13,49.79096666,30563430,South America
114,Viet Nam,VNM,16,31.54924597,94033048,Asia
115,Yemen,YEM,36.1,101.9889711,30034386,Asia
116,Zambia,ZMB,38.2,90.48820584,17298056,Africa
117,Zimbabwe,ZWE,33.8,47.68928157,14751101,Africa
