,Country Name,Country Code,Change in Global Hunger Index,Population growth ,Population,Continent
75,Rwanda,RWA,-21.9,73.52747771,12230343,Africa
76,Saudi Arabia,SAU,-7.2,81.58380264,34193120,Asia
77,Senegal,SEN,-19.1,86.5193889,15157793,Africa
78,Sierra Leone,SLE,-18.7,67.085437,7677570,Africa
79,South Africa,ZAF,-5.3,40.47486717,56641208,Africa
80,Sri Lanka,LKA,-6.1,16.76041378,21506816,Asia
81,Suriname,SUR,-7.1,30.85534921,587566,South America
82,United Republic of Tanzania,TZA,-14.1,97.94529093,56267040,Africa
83,Thailand,THA,-15.2,18.70697889,70898208,Asia
84,Togo,TGO,-23.3,86.6647774,7852799,Africa
85,Trinidad and Tobago,TTO,-7.6,9.907578827,1478616,North America
86,Tunisia,TUN,-8,31.03994142,11811441,Africa
87,Turkey,TUR,-11.8,40.40008986,82089824,Asia
88,Uganda,UGA,-9.2,115.2206779,40127096,Africa
89,Uruguay,URY,-7.2,8.770514017,3422205,South America
90,Venezuela (Bolivarian Republic of),VEN,-2.2,49.79096666,30563430,South America
91,Viet Nam,VNM,-24.2,31.54924597,94033048,Asia
92,Yemen,YEM,-7.4,101.9889711,30034386,Asia
93,Zambia,ZMB,-10.3,90.48820584,17298056,Africa
94,Zimbabwe,ZWE,-2,47.68928157,14751101,Africa
