Year Unedited,Percentage,Year Cut,Month,,Year,,,,,,
1992 JUL,2.4,1992,JUL,7,1992-07-01,,,,,,
1992 AUG,1.9,1992,AUG,8,1992-08-01,,,,,,
1992 SEP,2.2,1992,SEP,9,1992-09-01,,,,,,
1992 OCT,2.3,1992,OCT,10,1992-10-01,,,,,,
1992 NOV,1.5,1992,NOV,11,1992-11-01,,,,,,
1992 DEC,1.9,1992,DEC,12,1992-12-01,,,,,,
1993 JAN,1.4,1993,JAN,1,1993-01-01,,,,,,
1993 FEB,1.8,1993,FEB,2,1993-02-01,,,,,,
1993 MAR,2.3,1993,MAR,3,1993-03-01,,,,,,
1993 APR,2.4,1993,APR,4,1993-04-01,,,,,,
1993 MAY,2.8,1993,MAY,5,1993-05-01,,,,,,
1993 JUN,2.8,1993,JUN,6,1993-06-01,,,,,,
1993 JUL,3.7,1993,JUL,7,1993-07-01,,,,,,
1993 AUG,3.6,1993,AUG,8,1993-08-01,,,,,,
1993 SEP,3.6,1993,SEP,9,1993-09-01,,,,,,
1993 OCT,2.8,1993,OCT,10,1993-10-01,,,,,,
1993 NOV,2.3,1993,NOV,11,1993-11-01,,,,,,
1993 DEC,1.8,1993,DEC,12,1993-12-01,,,,,,
1994 JAN,1.9,1994,JAN,1,1994-01-01,,,,,,
1994 FEB,1.5,1994,FEB,2,1994-02-01,,,,,,
1994 MAR,1.2,1994,MAR,3,1994-03-01,,,,,,
1994 APR,1.6,1994,APR,4,1994-04-01,,,,,,
1994 MAY,1.5,1994,MAY,5,1994-05-01,,,,,,
1994 JUN,1.8,1994,JUN,6,1994-06-01,,,,,,
1994 JUL,1.5,1994,JUL,7,1994-07-01,,,,,,
1994 AUG,1.7,1994,AUG,8,1994-08-01,,,,,,
1994 SEP,1.3,1994,SEP,9,1994-09-01,,,,,,
1994 OCT,1.8,1994,OCT,10,1994-10-01,,,,,,
1994 NOV,2.6,1994,NOV,11,1994-11-01,,,,,,
1994 DEC,2.9,1994,DEC,12,1994-12-01,,,,,,
1995 JAN,3.4,1995,JAN,1,1995-01-01,,,,,,
1995 FEB,3.5,1995,FEB,2,1995-02-01,,,,,,
1995 MAR,3.6,1995,MAR,3,1995-03-01,,,,,,
1995 APR,3.3,1995,APR,4,1995-04-01,,,,,,
1995 MAY,3.9,1995,MAY,5,1995-05-01,,,,,,
1995 JUN,3.3,1995,JUN,6,1995-06-01,,,,,,
1995 JUL,3.2,1995,JUL,7,1995-07-01,,,,,,
1995 AUG,4.5,1995,AUG,8,1995-08-01,,,,,,
1995 SEP,5.3,1995,SEP,9,1995-09-01,,,,,,
1995 OCT,4.5,1995,OCT,10,1995-10-01,,,,,,
1995 NOV,4.3,1995,NOV,11,1995-11-01,,,,,,
1995 DEC,4.5,1995,DEC,12,1995-12-01,,,,,,
1996 JAN,4,1996,JAN,1,1996-01-01,,,,,,
1996 FEB,4.4,1996,FEB,2,1996-02-01,,,,,,
1996 MAR,4.4,1996,MAR,3,1996-03-01,,,,,,
1996 APR,4.6,1996,APR,4,1996-04-01,,,,,,
1996 MAY,3.7,1996,MAY,5,1996-05-01,,,,,,
1996 JUN,4.4,1996,JUN,6,1996-06-01,,,,,,
1996 JUL,4,1996,JUL,7,1996-07-01,,,,,,
1996 AUG,3.3,1996,AUG,8,1996-08-01,,,,,,
1996 SEP,2.3,1996,SEP,9,1996-09-01,,,,,,
1996 OCT,2.5,1996,OCT,10,1996-10-01,,,,,,
1996 NOV,2.1,1996,NOV,11,1996-11-01,,,,,,
1996 DEC,1.6,1996,DEC,12,1996-12-01,,,,,,
1997 JAN,1.8,1997,JAN,1,1997-01-01,,,,,,
1997 FEB,0.8,1997,FEB,2,1997-02-01,,,,,,
1997 MAR,-0.2,1997,MAR,3,1997-03-01,,,,,,
1997 APR,0.1,1997,APR,4,1997-04-01,,,,,,
1997 MAY,0.1,1997,MAY,5,1997-05-01,,,,,,
1997 JUN,0.7,1997,JUN,6,1997-06-01,,,,,,
1997 JUL,1.4,1997,JUL,7,1997-07-01,,,,,,
1997 AUG,0.5,1997,AUG,8,1997-08-01,,,,,,
1997 SEP,1.2,1997,SEP,9,1997-09-01,,,,,,
1997 OCT,2,1997,OCT,10,1997-10-01,,,,,,
1997 NOV,2,1997,NOV,11,1997-11-01,,,,,,
1997 DEC,1.9,1997,DEC,12,1997-12-01,,,,,,
1998 JAN,1.4,1998,JAN,1,1998-01-01,,,,,,
1998 FEB,1.6,1998,FEB,2,1998-02-01,,,,,,
1998 MAR,1.8,1998,MAR,3,1998-03-01,,,,,,
1998 APR,1.7,1998,APR,4,1998-04-01,,,,,,
1998 MAY,2.3,1998,MAY,5,1998-05-01,,,,,,
1998 JUN,1.4,1998,JUN,6,1998-06-01,,,,,,
1998 JUL,1.5,1998,JUL,7,1998-07-01,,,,,,
1998 AUG,2.3,1998,AUG,8,1998-08-01,,,,,,
1998 SEP,2.1,1998,SEP,9,1998-09-01,,,,,,
1998 OCT,2.2,1998,OCT,10,1998-10-01,,,,,,
1998 NOV,2.4,1998,NOV,11,1998-11-01,,,,,,
1998 DEC,2.9,1998,DEC,12,1998-12-01,,,,,,
1999 JAN,3.1,1999,JAN,1,1999-01-01,,,,,,
1999 FEB,3.2,1999,FEB,2,1999-02-01,,,,,,
1999 MAR,2.9,1999,MAR,3,1999-03-01,,,,,,
1999 APR,2.3,1999,APR,4,1999-04-01,,,,,,
1999 MAY,1.6,1999,MAY,5,1999-05-01,,,,,,
1999 JUN,1.5,1999,JUN,6,1999-06-01,,,,,,
1999 JUL,1.2,1999,JUL,7,1999-07-01,,,,,,
1999 AUG,0.1,1999,AUG,8,1999-08-01,,,,,,
1999 SEP,0.2,1999,SEP,9,1999-09-01,,,,,,
1999 OCT,-0.1,1999,OCT,10,1999-10-01,,,,,,
1999 NOV,0.3,1999,NOV,11,1999-11-01,,,,,,
1999 DEC,-0.1,1999,DEC,12,1999-12-01,,,,,,
2000 JAN,-0.4,2000,JAN,1,2000-01-01,,,,,,
2000 FEB,-0.5,2000,FEB,2,2000-02-01,,,,,,
2000 MAR,-0.5,2000,MAR,3,2000-03-01,,,,,,
2000 APR,-0.2,2000,APR,4,2000-04-01,,,,,,
2000 MAY,0.1,2000,MAY,5,2000-05-01,,,,,,
2000 JUN,0.6,2000,JUN,6,2000-06-01,,,,,,
2000 JUL,1.7,2000,JUL,7,2000-07-01,,,,,,
2000 AUG,1.4,2000,AUG,8,2000-08-01,,,,,,
2000 SEP,1.7,2000,SEP,9,2000-09-01,,,,,,
2000 OCT,1.9,2000,OCT,10,2000-10-01,,,,,,
2000 NOV,1.9,2000,NOV,11,2000-11-01,,,,,,
2000 DEC,2,2000,DEC,12,2000-12-01,,,,,,
2001 JAN,2.1,2001,JAN,1,2001-01-01,,,,,,
2001 FEB,2.2,2001,FEB,2,2001-02-01,,,,,,
2001 MAR,3.5,2001,MAR,3,2001-03-01,,,,,,
2001 APR,3.7,2001,APR,4,2001-04-01,,,,,,
2001 MAY,4.9,2001,MAY,5,2001-05-01,,,,,,
2001 JUN,5.2,2001,JUN,6,2001-06-01,,,,,,
2001 JUL,3.3,2001,JUL,7,2001-07-01,,,,,,
2001 AUG,3.8,2001,AUG,8,2001-08-01,,,,,,
2001 SEP,3.6,2001,SEP,9,2001-09-01,,,,,,
2001 OCT,3.6,2001,OCT,10,2001-10-01,,,,,,
2001 NOV,3.2,2001,NOV,11,2001-11-01,,,,,,
2001 DEC,3.4,2001,DEC,12,2001-12-01,,,,,,
2002 JAN,3.8,2002,JAN,1,2002-01-01,,,,,,
2002 FEB,3.7,2002,FEB,2,2002-02-01,,,,,,
2002 MAR,3.1,2002,MAR,3,2002-03-01,,,,,,
2002 APR,2.6,2002,APR,4,2002-04-01,,,,,,
2002 MAY,0.7,2002,MAY,5,2002-05-01,,,,,,
2002 JUN,-0.2,2002,JUN,6,2002-06-01,,,,,,
2002 JUL,0.9,2002,JUL,7,2002-07-01,,,,,,
2002 AUG,1,2002,AUG,8,2002-08-01,,,,,,
2002 SEP,1.2,2002,SEP,9,2002-09-01,,,,,,
2002 OCT,1.1,2002,OCT,10,2002-10-01,,,,,,
2002 NOV,1.2,2002,NOV,11,2002-11-01,,,,,,
2002 DEC,0.8,2002,DEC,12,2002-12-01,,,,,,
2003 JAN,0.2,2003,JAN,1,2003-01-01,,,,,,
2003 FEB,0.7,2003,FEB,2,2003-02-01,,,,,,
2003 MAR,0.8,2003,MAR,3,2003-03-01,,,,,,
2003 APR,1.3,2003,APR,4,2003-04-01,,,,,,
2003 MAY,1.9,2003,MAY,5,2003-05-01,,,,,,
2003 JUN,2.1,2003,JUN,6,2003-06-01,,,,,,
2003 JUL,2.3,2003,JUL,7,2003-07-01,,,,,,
2003 AUG,2.3,2003,AUG,8,2003-08-01,,,,,,
2003 SEP,2.6,2003,SEP,9,2003-09-01,,,,,,
2003 OCT,2.5,2003,OCT,10,2003-10-01,,,,,,
2003 NOV,2.6,2003,NOV,11,2003-11-01,,,,,,
2003 DEC,2.9,2003,DEC,12,2003-12-01,,,,,,
2004 JAN,2.7,2004,JAN,1,2004-01-01,,,,,,
2004 FEB,2.4,2004,FEB,2,2004-02-01,,,,,,
2004 MAR,2.2,2004,MAR,3,2004-03-01,,,,,,
2004 APR,1.8,2004,APR,4,2004-04-01,,,,,,
2004 MAY,1.4,2004,MAY,5,2004-05-01,,,,,,
2004 JUN,1.2,2004,JUN,6,2004-06-01,,,,,,
2004 JUL,0.7,2004,JUL,7,2004-07-01,,,,,,
2004 AUG,0.6,2004,AUG,8,2004-08-01,,,,,,
2004 SEP,0.2,2004,SEP,9,2004-09-01,,,,,,
2004 OCT,0.4,2004,OCT,10,2004-10-01,,,,,,
2004 NOV,0.6,2004,NOV,11,2004-11-01,,,,,,
2004 DEC,0.8,2004,DEC,12,2004-12-01,,,,,,
2005 JAN,1.1,2005,JAN,1,2005-01-01,,,,,,
2005 FEB,1.4,2005,FEB,2,2005-02-01,,,,,,
2005 MAR,1.9,2005,MAR,3,2005-03-01,,,,,,
2005 APR,1.5,2005,APR,4,2005-04-01,,,,,,
2005 MAY,1.8,2005,MAY,5,2005-05-01,,,,,,
2005 JUN,2.2,2005,JUN,6,2005-06-01,,,,,,
2005 JUL,1.9,2005,JUL,7,2005-07-01,,,,,,
2005 AUG,2.1,2005,AUG,8,2005-08-01,,,,,,
2005 SEP,2,2005,SEP,9,2005-09-01,,,,,,
2005 OCT,1.6,2005,OCT,10,2005-10-01,,,,,,
2005 NOV,1.8,2005,NOV,11,2005-11-01,,,,,,
2005 DEC,1.7,2005,DEC,12,2005-12-01,,,,,,
2006 JAN,1.5,2006,JAN,1,2006-01-01,,,,,,
2006 FEB,1.5,2006,FEB,2,2006-02-01,,,,,,
2006 MAR,0.5,2006,MAR,3,2006-03-01,,,,,,
2006 APR,0.9,2006,APR,4,2006-04-01,,,,,,
2006 MAY,1.4,2006,MAY,5,2006-05-01,,,,,,
2006 JUN,1.8,2006,JUN,6,2006-06-01,,,,,,
2006 JUL,2.7,2006,JUL,7,2006-07-01,,,,,,
2006 AUG,2.8,2006,AUG,8,2006-08-01,,,,,,
2006 SEP,3.1,2006,SEP,9,2006-09-01,,,,,,
2006 OCT,3.7,2006,OCT,10,2006-10-01,,,,,,
2006 NOV,3.9,2006,NOV,11,2006-11-01,,,,,,
2006 DEC,3.7,2006,DEC,12,2006-12-01,,,,,,
2007 JAN,3.4,2007,JAN,1,2007-01-01,,,,,,
2007 FEB,3.6,2007,FEB,2,2007-02-01,,,,,,
2007 MAR,4.5,2007,MAR,3,2007-03-01,,,,,,
2007 APR,4.9,2007,APR,4,2007-04-01,,,,,,
2007 MAY,4.3,2007,MAY,5,2007-05-01,,,,,,
2007 JUN,4.4,2007,JUN,6,2007-06-01,,,,,,
2007 JUL,3.2,2007,JUL,7,2007-07-01,,,,,,
2007 AUG,3.3,2007,AUG,8,2007-08-01,,,,,,
2007 SEP,4,2007,SEP,9,2007-09-01,,,,,,
2007 OCT,4.6,2007,OCT,10,2007-10-01,,,,,,
2007 NOV,4.8,2007,NOV,11,2007-11-01,,,,,,
2007 DEC,5.3,2007,DEC,12,2007-12-01,,,,,,
2008 JAN,5.7,2008,JAN,1,2008-01-01,,,,,,
2008 FEB,5.4,2008,FEB,2,2008-02-01,,,,,,
2008 MAR,5.3,2008,MAR,3,2008-03-01,,,,,,
2008 APR,6,2008,APR,4,2008-04-01,,,,,,
2008 MAY,6.8,2008,MAY,5,2008-05-01,,,,,,
2008 JUN,8,2008,JUN,6,2008-06-01,,,,,,
2008 JUL,9.8,2008,JUL,7,2008-07-01,,,,,,
2008 AUG,10.3,2008,AUG,8,2008-08-01,,,,,,
2008 SEP,9.2,2008,SEP,9,2008-09-01,,,,,,
2008 OCT,8.4,2008,OCT,10,2008-10-01,,,,,,
2008 NOV,8.8,2008,NOV,11,2008-11-01,,,,,,
